clusterID,DV,AP_dist,power,effects,area
11,-1530.28943294985,0,2,0.5740757190211,m2_1
11,-1530.28943294985,1,2,0.54565910290698,m2_1
11,-1530.28943294985,2,2,0.599843143419482,m2_1
11,-1530.28943294985,3,2,1.00379826999057,m2_1
11,-1530.28943294985,0,4,0.75309576252251,m2_1
11,-1530.28943294985,1,4,0.490382554533514,m2_1
11,-1530.28943294985,2,4,0.726179352441558,m2_1
11,-1530.28943294985,3,4,0.930125784051655,m2_1
18,-1424.57401311144,0,2,0.339014224810243,m2_1
18,-1424.57401311144,1,2,1.371254575846,m2_1
18,-1424.57401311144,2,2,0.408490028055995,m2_1
18,-1424.57401311144,3,2,0.666902207247299,m2_1
18,-1424.57401311144,0,4,0.0976605398140604,m2_1
18,-1424.57401311144,1,4,0.82092969632844,m2_1
18,-1424.57401311144,2,4,0.464216358200435,m2_1
18,-1424.57401311144,3,4,1.19725250958837,m2_1
23,-1403.43092914375,0,2,0.29022895312712,m2_1
23,-1403.43092914375,1,2,1.49149853068983,m2_1
23,-1403.43092914375,2,2,1.03953973343825,m2_1
23,-1403.43092914375,3,2,1.33258415265878,m2_1
23,-1403.43092914375,0,4,0.829313556191768,m2_1
23,-1403.43092914375,1,4,1.16444414609411,m2_1
23,-1403.43092914375,2,4,1.34573374712197,m2_1
23,-1403.43092914375,3,4,1.07061120671018,m2_1
31,-1382.28784517607,0,2,0.203224931751321,m2_1
31,-1382.28784517607,1,2,0.518585200867262,m2_1
31,-1382.28784517607,2,2,0.597447952072319,m2_1
31,-1382.28784517607,3,2,1.17818620325307,m2_1
31,-1382.28784517607,0,4,0.364991742918731,m2_1
31,-1382.28784517607,1,4,0.327348918091929,m2_1
31,-1382.28784517607,2,4,0.59801817425428,m2_1
31,-1382.28784517607,3,4,0.915015486745526,m2_1
38,-1382.28784517607,0,2,0.750099045431106,m2_1
38,-1382.28784517607,1,2,0.858434063582935,m2_1
38,-1382.28784517607,2,2,0.680231928309448,m2_1
38,-1382.28784517607,3,2,0.827386452575184,m2_1
38,-1382.28784517607,0,4,0.608795817173201,m2_1
38,-1382.28784517607,1,4,0.49948034988875,m2_1
38,-1382.28784517607,2,4,0.891667283509417,m2_1
38,-1382.28784517607,3,4,0.867824890573672,m2_1
47,-1318.85859327302,0,2,0.349016555708227,m2_1
47,-1318.85859327302,1,2,0.553144004868357,m2_1
47,-1318.85859327302,2,2,1.44774908327637,m2_1
47,-1318.85859327302,3,2,1.09950257214259,m2_1
47,-1318.85859327302,0,4,0.127925797583773,m2_1
47,-1318.85859327302,1,4,0.432469505890211,m2_1
47,-1318.85859327302,2,4,1.53569709424733,m2_1
47,-1318.85859327302,3,4,1.17407916161672,m2_1
48,-1340.00167724071,0,2,0.686370853052402,m2_1
48,-1340.00167724071,1,2,0.623624154134659,m2_1
48,-1340.00167724071,2,2,1.22320881530911,m2_1
48,-1340.00167724071,3,2,1.07510600747193,m2_1
48,-1340.00167724071,0,4,0.401724129096691,m2_1
48,-1340.00167724071,1,4,0.805242602237157,m2_1
48,-1340.00167724071,2,4,0.838616159525454,m2_1
48,-1340.00167724071,3,4,1.140829836707,m2_1
50,-1340.00167724071,0,2,0.437267920287743,m2_1
50,-1340.00167724071,1,2,0.84940033505091,m2_1
50,-1340.00167724071,2,2,1.03657390244882,m2_1
50,-1340.00167724071,3,2,1.10448842971684,m2_1
50,-1340.00167724071,0,4,0.297153113853978,m2_1
50,-1340.00167724071,1,4,0.811401654656806,m2_1
50,-1340.00167724071,2,4,1.26322074695768,m2_1
50,-1340.00167724071,3,4,1.08389368843511,m2_1
51,-1340.00167724071,0,2,0.40915344984812,m2_1
51,-1340.00167724071,1,2,0.724601242959521,m2_1
51,-1340.00167724071,2,2,0.700595099674204,m2_1
51,-1340.00167724071,3,2,1.10986281320368,m2_1
51,-1340.00167724071,0,4,0.477717653012147,m2_1
51,-1340.00167724071,1,4,0.617146749843747,m2_1
51,-1340.00167724071,2,4,0.904339016043111,m2_1
51,-1340.00167724071,3,4,0.974807599230073,m2_1
52,-1297.71550930534,0,2,0.519869710178855,m2_1
52,-1297.71550930534,1,2,1.32503291874324,m2_1
52,-1297.71550930534,2,2,0.937668737578561,m2_1
52,-1297.71550930534,3,2,1.12878401578036,m2_1
52,-1297.71550930534,0,4,0.415686977238719,m2_1
52,-1297.71550930534,1,4,1.37526190755242,m2_1
52,-1297.71550930534,2,4,1.44977690244659,m2_1
52,-1297.71550930534,3,4,1.29329370995041,m2_1
58,-1297.71550930534,0,2,0.439061248584204,m2_1
58,-1297.71550930534,1,2,0.5659188329866,m2_1
58,-1297.71550930534,2,2,0.621858552546761,m2_1
58,-1297.71550930534,3,2,1.02403855301154,m2_1
58,-1297.71550930534,0,4,0.410924900449888,m2_1
58,-1297.71550930534,1,4,0.605121793809339,m2_1
58,-1297.71550930534,2,4,0.702665606092901,m2_1
58,-1297.71550930534,3,4,0.889043545373604,m2_1
65,-1234.28625740229,0,2,0.213648512429633,m2_1
65,-1234.28625740229,1,2,0.736541182106411,m2_1
